# hdf5name mtotal q a1 a1dotL a2 a2dotL
GT0836 71.337171 1.500000 0.400000 -0.400000 0.400000 -0.400000
GT0889 106.824159 6.000007 0.600000 0.424000 0.600001 -0.424000
GT0769 99.047135 4.999988 0.720001 -0.720000 0.000000 0.000000
GT0454 90.985176 4.000000 0.000000 0.000000 0.000000 0.000000
GT0463 74.708565 2.000003 0.599999 0.000000 0.600001 0.600000
GT0476 69.611120 1.000000 0.200000 -0.200000 0.200000 -0.200000
GT0745 106.824159 6.000007 0.599996 0.259000 0.000000 0.000000
GT0587 74.708565 2.000003 0.300000 0.300000 0.000000 0.000000
GT0460 74.708565 2.000003 0.599999 0.424000 0.600001 0.600000
GT0845 78.624846 2.500004 0.600000 -0.600000 0.600001 -0.600000
GT0462 78.624846 2.500004 0.400000 0.200000 0.400001 0.400000
GT0555 69.611120 1.000000 0.200000 0.200000 0.800000 0.800000
GT0875 90.985176 4.000000 0.600000 0.424000 0.600000 -0.424000
GT0472 74.708565 2.000003 0.400000 0.400000 0.400001 0.400000
GT0446 74.708565 2.000003 0.000000 0.000000 0.000000 0.000000
GT0430 90.985176 4.000000 0.600000 0.600000 0.600000 0.000000
GT0389 69.611120 1.000000 0.600000 -0.600000 0.600000 -0.600000
GT0557 90.985176 4.000000 0.600000 0.000000 0.000000 0.000000
GT0469 90.985176 4.000000 0.600000 0.300000 0.600000 0.600000
GT0778 88.519389 3.699999 0.000000 0.000000 0.000000 0.000000
GT0846 82.725969 3.000000 0.600000 -0.600000 0.600000 -0.600000
GT0738 70.131835 1.250002 0.000000 0.000000 0.000000 0.000000
GT0465 78.624846 2.500004 0.600000 0.424000 0.600001 0.600000
GT0478 90.985176 4.000000 0.400000 0.200000 0.400000 0.400000
GT0843 78.624846 2.500004 0.200000 -0.200000 0.200000 -0.200000
GT0599 99.047135 4.999988 0.200000 0.200000 0.000000 0.000000
GT0424 69.611120 1.000000 0.800000 0.800000 0.800000 0.800000
GT0834 114.311991 7.000000 0.800000 -0.783000 0.000000 0.000000
GT0355 69.611120 1.000104 0.199979 0.200000 0.200021 -0.200000
GT0768 99.047135 4.999988 0.710001 -0.710000 0.000000 0.000000
GT0840 78.624846 2.500004 0.400000 -0.400000 0.400001 -0.400000
GT0467 78.624846 2.500004 0.600000 0.000000 0.600001 0.600000
GT0578 90.985176 4.000000 0.600000 0.600000 0.000000 0.000000
GT0771 99.047135 4.999988 0.680001 -0.680000 0.000000 0.000000
GT0433 90.985176 4.000000 0.600000 0.000000 0.600000 0.000000
GT0584 69.611120 1.000000 0.600000 0.600000 0.600000 0.600000
GT0899 69.927446 1.190000 0.420000 0.420000 0.380000 -0.380000
GT0612 106.824159 6.000007 0.600000 0.600000 0.000000 0.000000
GT0453 82.725969 3.000000 0.000000 0.000000 0.000000 0.000000
GT0887 99.047135 4.999988 0.600000 0.424000 0.599998 -0.424000
GT0791 93.431487 4.300007 0.000000 0.000000 0.000000 0.000000
GT0573 90.985176 4.000000 0.400000 0.400000 0.000000 0.000000
GT0757 76.628945 2.250003 0.000000 0.000000 0.000000 0.000000
GT0901 70.024519 1.220000 0.330000 0.330000 0.440000 -0.440000
GT0588 74.708565 2.000003 0.599999 0.600000 0.600001 0.600000
GT0824 102.972694 5.500007 0.000000 0.000000 0.000000 0.000000
GT0590 82.725969 3.000000 0.800000 0.800000 0.000000 0.000000
GT0544 90.985176 4.000000 0.599998 -0.009000 0.599999 0.591000
GT0560 90.985176 4.000000 0.600000 0.000000 0.600000 0.000000
GT0414 72.915353 1.750003 0.400000 0.400000 0.400001 0.400000
GT0688 114.311991 7.000000 0.200000 0.200000 0.000000 0.000000
GT0411 71.337171 1.500000 0.600000 0.600000 0.600000 0.600000
GT0608 106.824159 6.000007 0.200000 0.200000 0.000000 0.000000
GT0579 69.611120 1.000000 0.300000 0.300000 0.300000 0.300000
GT0795 94.241654 4.400005 0.000000 0.000000 0.000000 0.000000
GT0880 95.049739 4.500006 0.600000 0.424000 0.600001 -0.424000
GT0798 92.618157 4.199992 0.000000 0.000000 0.000000 0.000000
GT0551 69.611120 1.000000 0.000000 0.000000 0.800000 0.800000
GT0838 74.708565 2.000003 0.400000 -0.400000 0.400001 -0.400000
GT0583 69.611120 1.000000 0.700000 0.700000 0.700000 0.700000
GT0797 91.803164 4.100011 0.000000 0.000000 0.000000 0.000000
GT0358 69.611120 1.000088 0.799930 0.800000 0.800070 -0.800000
GT0839 71.337171 1.500000 0.200000 -0.200000 0.200000 -0.200000
GT0459 78.624846 2.500004 0.400000 0.283000 0.400001 0.400000
GT0727 72.915353 1.750003 0.000000 0.000000 0.000000 0.000000
GT0602 99.047135 4.999988 0.400000 0.400000 0.000000 0.000000
GT0598 82.725969 3.000000 0.200000 0.200000 0.000000 0.000000
GT0765 99.047135 4.999988 0.730001 -0.730000 0.000000 0.000000
GT0566 90.985176 4.000000 0.800000 -0.800000 0.000000 0.000000
GT0770 99.047135 4.999988 0.690001 -0.690000 0.000000 0.000000
GT0833 90.985176 4.000000 0.800000 -0.796000 0.000000 0.000000
GT0470 90.985176 4.000000 0.600000 0.000000 0.600000 0.600000
GT0549 69.611120 1.000000 0.200000 0.200000 0.400000 0.400000
GT0580 69.611120 1.000000 0.500000 0.500000 0.500000 0.500000
GT0656 95.049739 4.500006 0.000000 0.000000 0.000000 0.000000
GT0475 78.624846 2.500004 0.200000 0.200000 0.000000 0.000000
GT0888 114.311991 7.000000 0.600000 0.424000 0.600000 -0.424000
GT0818 114.311991 7.000000 0.000000 0.000000 0.000000 0.000000
GT0480 78.624846 2.500004 0.400000 0.400000 0.000000 0.000000
GT0466 78.624846 2.500004 0.600000 0.300000 0.600001 0.600000
GT0582 74.708565 2.000003 0.150000 0.150000 0.600001 -0.600000
GT0464 78.624846 2.500004 0.400000 0.000000 0.400001 0.400000
GT0611 99.047135 4.999988 0.600000 0.600000 0.000000 0.000000
GT0556 74.708565 2.000003 0.599999 0.000000 0.600001 0.600000
GT0610 106.824159 6.000007 0.400000 0.400000 0.000000 0.000000
GT0879 86.867552 3.500005 0.600000 0.424000 0.600001 -0.424000
GT0458 74.708565 2.000003 0.400000 0.200000 0.400001 0.400000
GT0842 82.725969 3.000000 0.200000 -0.200000 0.200000 -0.200000
GT0548 69.611120 1.000000 0.000000 0.000000 0.600000 0.600000
GT0477 71.337171 1.500000 0.000000 0.000000 0.000000 0.000000
GT0448 69.611120 1.000000 0.000000 0.000000 0.000000 0.000000
GT0558 71.337171 1.500000 0.400000 0.400000 0.400000 0.400000
GT0577 99.047135 4.999988 0.000000 0.000000 0.000000 0.000000
GT0898 69.958578 1.200002 0.000000 0.000000 0.000000 0.000000
GT0740 114.311991 7.000000 0.400000 0.400000 0.000000 0.000000
GT0461 74.708565 2.000003 0.599999 0.300000 0.600001 0.600000
GT0601 166.461564 15.038266 0.000000 0.000000 0.000000 0.000000
GT0554 69.611120 1.000000 0.200000 0.200000 0.600000 0.600000
GT0600 82.725969 3.000000 0.600000 0.600000 0.000000 0.000000
GT0777 90.165017 3.899991 0.000000 0.000000 0.000000 0.000000
GT0468 90.985176 4.000000 0.600000 0.424000 0.600000 0.600000
GT0604 106.824159 6.000007 0.000000 0.000000 0.000000 0.000000
GT0357 69.611120 1.000164 0.599902 0.600000 0.600098 -0.600000
GT0900 69.958578 1.200002 0.399999 0.000000 0.400001 0.000000
GT0420 69.611120 1.000000 0.200000 0.200000 0.200000 0.200000
GT0568 135.217800 9.996319 0.000000 0.000000 0.000000 0.000000
GT0570 90.985176 4.000000 0.200000 0.200000 0.000000 0.000000
GT0479 71.337171 1.500000 0.200000 0.200000 0.200000 0.200000
GT0844 74.708565 2.000003 0.200000 -0.200000 0.200000 -0.200000
GT0565 78.624846 2.500004 0.000000 0.000000 0.000000 0.000000
GT0356 69.611120 1.000172 0.399931 0.400000 0.400069 -0.400000
GT0380 77.420394 2.350005 0.000000 0.000000 0.000000 0.000000
GT0415 72.915353 1.750003 0.599999 0.600000 0.600001 0.600000
GT0886 121.529242 8.000009 0.600000 0.424000 0.600001 -0.424000
GT0547 69.611120 1.000000 0.000000 0.000000 0.400000 0.400000
GT0742 114.311991 7.000000 0.599991 -0.008000 0.000000 0.000000
GT0422 69.611120 1.000000 0.400000 0.400000 0.400000 0.400000
GT0841 82.725969 3.000000 0.400000 -0.400000 0.400000 -0.400000
GT0779 99.047135 4.999988 0.692740 -0.693000 0.000000 0.000000
GT0392 69.611120 1.000000 0.800000 -0.800000 0.800000 -0.800000
GT0884 88.931615 3.750007 0.599999 0.424000 0.600002 -0.424000
GT0837 74.708565 2.000003 0.599999 -0.600000 0.600001 -0.600000
GT0574 69.611120 1.000000 0.100000 0.100000 0.100000 0.100000
GT0471 74.708565 2.000003 0.200000 0.200000 0.200000 0.200000
GT0546 69.611120 1.000000 0.000000 0.000000 0.200000 0.200000
GT0780 89.343474 3.800008 0.000000 0.000000 0.000000 0.000000
GT0596 82.725969 3.000000 0.400000 0.400000 0.000000 0.000000
